"","Programme","Priority axes name","Registration number of the operation","Operation name","Operation summary","Beneficiary name","Identification number of the beneficiary","Legal status of the beneficiary","Postcode","...10","Operation start date","Expected end date of the operation","Operation end date","...14","Status of the operation","Country","NUTS 3 code","NUTS 3 name","Intervention field - code","Intervention field - name","Fund","Union co-financing rate","Total eligible expenditure allocated to the selected operation","Expeditures allocated to the selected operation - Union support","Expeditures allocated to the selected operation - national public funding","Expeditures allocated to the selected operation - national private funding","Total eligible expenditures charged in payment applications","Expenditures charged in payment application - Union support","...29"
"28","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0003620","Podpora přírodovědného a polytechnického vzdělávání na 6. ZŠ Cheb","Projekt si klade za cíl zlepšit kvalitu formálního vzdělávání s důrazem na rozvoj klíčových kompetencí a tím zvýšit reálnou budoucí uplatnitelnost žáků na trhu práce.  V rámci projektu bude modernizována Učebna technických činností vč. zázemí - pro výuku praktických činností a technických činností. Dále bude zajištěna vnitřní konektivita školy a připojení k internetu, zajištěna bezbariérovost budovy základní školy, součástí projektu budou také úpravy venkovního prostranství.","Město Cheb","00253979","Obec",35002,2018-04-04,"02.11.2016","30.04.2019","30.04.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ041","Karlovarský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.85,4115169,3497893.65,617275.35,0,4013795.52,3411726.19,"Ne"
"29","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0003902","Modernizace učeben klíčových kompetencí Základní školy a Mateřské školy, Uherské Hradiště, Větrná 1063","Cílem projektu jsou stavební úpravy a pořízení vybavení do 3 odborných učeben a technického zázemí pro praktickou výuku jazyků za účelem zvýšení kvality vzdělávání (a vzdělanosti) ve vazbě na budoucí uplatnění na trhu práce v klíčových kompetencích: komunikace v cizích jazycích a řemeslné kompetence.","Město Uherské Hradiště","00291471","Obec",68601,2018-07-03,"01.07.2016","31.03.2020","31.03.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ072","Zlínský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.85,5542050,4710742.5,831307.5,0,5360929.31,4556789.9,"Ne"
"30","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0003884","Revitalizace prostor školy za účelem zkvalitnění klíčových kompetencí v ZŠ Trávníky","Cílem projektu jsou stavební práce a pořízení vybavení do 3 odborných učeben ve vazbě na klíčové kompetence: komunikace v cizích jazycích, přírodní vědy, technické a řemeslné obory a práce s digitálními technologiemi. Součástí projektu je budování prvku bezbariérovosti školy (vybudování 2 výtahů, bezbariérové WC) a dále zajištění konektivity školy v souladu s min. předepsanými standardy, před školou budou provedeny drobné úpravy prostranství (zeleň).","město Otrokovice","00284301","Obec",76502,2018-07-03,"01.07.2016","31.12.2019","13.12.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ072","Zlínský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.85,7764686,6599983.1,1164702.9,0,7764686,6599983.1,"Ne"
"31","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0003922","Zvýšení kvality vzdělávání v klíčových kompetencích ve vazbě na sociální inkluzi v ZŠ TGM","Cílem projektu jsou stavební práce a pořízení vybavení do 3 odborných učeben ve vazbě na klíčové kompetence: komunikace v cizích jazycích, přírodní vědy, technické a řemeslné obory a práce s digitálními technologiemi. Součástí projektu je zajištění konektivity školy v souladu s min. předepsanými standardy, před školou budou provedeny drobné úpravy prostranství (zeleň).","město Otrokovice","00284301","Obec",76502,2018-07-12,"01.07.2016","31.12.2019","31.12.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ072","Zlínský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.85,3927905,3338719.25,589185.75,0,3777416,3210803.6,"Ne"
"32","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0004199","Vybudování odborných učeben 18. ZŠ Most","Předmětem projektu jsou stavební úpravy učeben v objektu Základní školy, Most, Okružní 1235/8, p. o. (18. ZŠ Most), a to s ohledem na zvýšení kvality vzdělávání v souvislosti s budoucím uplatněním žáků na trhu práce v klíčových kompetencích přírodní vědy a komunikace v cizím jazyce ve vazbě na práci s digitálními technologiemi. Součástí projektu je rovněž vytvoření arboreta, pořízení nezbytného vybavení rekonstruovaných prostor, zajištění bezbariérovosti školy a odpovídající úrovně konektivity.","Statutární město Most","00266094","Obec",43401,2020-04-09,"16.11.2016","30.09.2021","09.10.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ042","Ústecký kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999999928903,14065199.06,11955419.2,2109779.86,0,14065199.06,11955419.19,"Ne"
"33","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0004028","Nová multifunkční učebna na ZŠ Štáflova","V projektu je řešena výstavba nové multifunkční učebny na ZŠ Štáflova. Týkající se Základní školy Havlíčkův Brod, Štáflova 2004, se sídlem Štáflova 2004, Havlíčkův Brod 580 01. Cílem projektu je zřízení nové multifunkční učebny, pořízení vybavení a digitálních technologií. Zabudování nové výtahové technologie do stávající výtahové šachty, která zajistí bezbariérový přístup školy. Ve vazbě na hlavní zaměření projektu bude realizována aktivita spojená se zajištěním konektivity školy.","Město Havlíčkův Brod","00267449","Obec",58001,2020-03-27,"01.09.2016","30.06.2021","07.06.2021",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ063","Kraj Vysočina","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999999324035,11095247.75,9430960.58,1664287.17,0,11095247.75,9430960.58,"Ne"
"34","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_062/0003752","Stavební úpravy a vybavení odborných učeben ZŠ T.G.Masaryka Bílovec","Předmětem projektu jsou stavební úpravy a pořízení vybavení do odborných učeben v ZŠ a MŠ T.G. Masaryka v Bílovci, p.o. za účelem zvýšení kvality vzdělávání ve vazbě na budoucí uplatnění na trhu práce v klíčových kompetencích. V rámci projektu bude také zajištěna bezbariérovost, elektronické zabezpečení vstupu do budovy. Ve venkovním areálu ZŠ dojde k sadovým úpravám a pořízení vegetačních prvků.","Město Bílovec","00297755","Obec",74301,2018-09-05,"11.01.2017","16.04.2020","16.04.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ080","Moravskoslezský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999999349014,3840327.05,3264277.99,576049.06,0,3840327.05,3264277.99,"Ne"
"35","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0003847","Podkrovní vestavba odborných učeben pro Základní školu Kolín II., Kmochova 943","Projekt je zaměřen na výstavbu nové podkrovní vestavby Základní školy Kolín II., Kmochova 943, kde se budou nacházet tři odborné učebny s vazbou na klíčové kompetence - přírodní vědy a práce s digitálními technologiemi. Tímto krokem dojde k výraznému zlepšení kvality výuky a výukového procesu. Díky pořízení moderních vyučovacích technologií bude v moderních učebnách zavedena interaktivní praktická výuka.","Město Kolín","00235440","Obec",28002,2018-07-02,"06.09.2016","30.09.2020","30.09.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.85,21909641,18623194.85,3286446.15,0,21736774.25,18476258.1,"Ne"
"36","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0004278","Koumes Kvido Základní škola Brno, Horní 16 - rekonstrukce odborné učebny","Hlavním cílem projektu je rekonstrukce jedné specializované učebny pro výuku přírodovědných předmětů, konkrétně fyziky a chemie a jedné odborné přípravny fyziky a chemie, jež jsou v současné době ve velmi špatném technickém stavu a neodpovídají požadavkům moderního vzdělávání a moderních trendů ve výuce. Požadavky RVP i doporučení ČŠI jednoznačně nabádají k řešení této situace. Při výstavbě je počítáno s umožněním bezbariérového pohybu zdravotně postiženým žákům.","Statutární město Brno","44992785","Obec",60200,2020-03-27,"24.05.2016","27.09.2021","27.09.2021",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ064","Jihomoravský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999999780631,4558535.46,3874755.14,683780.32,0,4423930.1,3760340.58,"Ne"
"37","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.05/0.0/0.0/16_044/0004552","Modernizace a doplnění podpůrných elektronických procesů pro potřeby ORP Židlochovice","Hlavním záměrem projektu je doplnit ICT prostředí úřadu o nové aplikační služby (zajišťující nové funkcionality a elektronické procesy) prostřednictvím modernizace stávajících podpůrných IS pro město Židlochovice a jeho příspěvkové organizace (PO). V návaznosti na zpřístupnění a bezchybný provoz nových aplikačních služeb je potřeba rozšířit technologické prostředí - ICT infrastrukturu technologického centra.","Město Židlochovice","00282979","Obec",66701,2017-08-25,"29.04.2016","31.12.2018","31.12.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ064","Jihomoravský kraj","IV.3.078","Služby elektronické veřejné správy (e-government) a žádosti (včetně elektronického zadávání veřejných zakázek, IKT opatření na podporu reformy veřejné správy, počítačové bezpečnosti, opatření pro důvěru a ochranu soukromí, elektronického soudnictví (e-justice) a e-demokracie)","EFRR",0.85,8342900,7091465,1251435,0,7962099,6767784.15,"Ne"
"38","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0004095","Zvýšení kvality a dostupnosti Základní školy Severovýchod","Realizací projektu dojde ke zkvalitnění vzdělávání dětí na Základní škole v Zábřeze s důrazem na rozvoj klíčových kompetencí žáků prostřednictvím investic do stavebních úprav objektu základní školy a pořízení vybavení za účelem zajištění rovného přístupu ke kvalitnímu vzdělávání ve městě Zábřeh.","Město Zábřeh","00303640","Obec",78901,2020-05-15,"01.10.2016","17.12.2021","17.12.2021",NA,"PP41 Projekt finančně ukončen ze strany ŘO","Česká republika","CZ071","Olomoucký kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999999295726,7099511.9,6034585.11,1064926.79,0,7099511.9,6034585.1,"Ne"
"39","OP ZP","05.3 Odpady a materiálové toky, ekologické zátěže a rizika","CZ.05.3.29/0.0/0.0/19_126/0011840","Rozšíření systému odděleného sběru ve městě Brandýs nad Labem - Stará Boleslav","Předmětem projektu je navýšení kapacity odděleného sběru využitelných složek komunálního odpadu od občanů města Brandýs nad Labem - Stará Boleslav. Navýšení kapacity separovaného sběru odpadu budou mít občané města možnost ve větší míře třídit papír, plasty, bioodpad a objemný odpad. Předmětem projektu je pořízení 4000 ks nádob na separaci odpadu přímo od domů občanů, 2 ks nádob na sklo a  pořízení 3 ks VOK na biologicky rozložitelný odpad a objemný odpad.","Město Brandýs nad Labem-Stará Boleslav","00240079","Obec",25001,2020-11-05,"03.03.2021","29.04.2022",NA,NA,"PP37 Projekt v plné (fyzické i finanční) realizaci","Česká republika","CZ020","Středočeský kraj","II.2.017","Nakládání s odpady v domácnostech (včetně opatření týkajících se minimalizace, třídění a recyklace)","FS",0.85,4145460,3523641,621819,0,4145460,3523641,"Ne"
"40","OP VVV","02.3 Rovný přístup ke kvalitnímu předškolnímu, primárnímu a sekundárnímu vzdělávání","CZ.02.3.68/0.0/0.0/15_005/0000504","Místní akční plán rozvoje vzdělávání v ORP Havířov","Cílem projektu je podporovat společné plánování a sdílení aktivit v území ORP Havířov, které přispějí k rozvoji vzdělávací soustavy a zlepší kvalitu vzdělávání ve zdejších školách. V rámci vytvořeného partnerství organizací formálního i neformálního vzdělávání budeme společně hledat řešení místně specifických problémů a potřeb ve vzdělávání za účelem rozvoje potenciálu každého žáka. Výstupem projektu je zpracovaný místní akční plán v úrovni MAP. Nositelem místního akčního plánu je město Havířov.","Statutární město Havířov","00297488","Obec",73601,2016-10-05,"01.04.2016","31.12.2017","31.12.2017",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ080","Moravskoslezský kraj","VII.0.115","Omezování a prevence předčasného ukončování školní docházky a podpora rovného přístupu ke kvalitním programům předškolního, základního a středoškolského vzdělávání, včetně možností formálního, neformálního a informálního učení, které umožňuje zpětné začlenění do procesu vzdělávání a odborné přípravy","ESF",0.85,2924320,2485672,292432,146216,2868929.7,2438590.23,"Ne"
