municipality_id,municipality,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
8121,Třinec,56151,56000,55935,55894,55605,55632,55718,55753,55769,55751,55393,55264,55057,54872,54865,54731,54560,54542,54613,54487,53757
5214,Trutnov,65085,64777,64678,64523,64533,64500,64617,64771,64663,64486,64499,64381,64210,64100,64032,63839,63675,63555,63419,63046,61713
5109,Turnov,30853,30971,31113,31138,31333,31525,31718,31859,32064,32271,32544,32602,32745,32858,32953,33048,33198,33347,33623,33811,32632
3115,Týn nad Vltavou,13524,13688,13793,13798,13928,14045,14087,14167,14114,14093,14030,14112,14104,14096,14104,14098,14099,14089,14083,14093,13905
7207,Uherské Hradiště,90177,90070,89942,89873,89986,90020,90486,90819,90686,90580,90581,90411,90307,90332,90289,90091,90140,90062,90117,89670,88654
7208,Uherský Brod,54137,54046,54068,53856,53759,53711,53756,53714,53701,53623,53233,53083,52822,52657,52541,52463,52294,52244,52109,51960,51175
7112,Uničov,23042,22982,23035,23027,22978,22881,22993,23071,22995,22944,22882,22747,22648,22552,22532,22474,22407,22449,22428,22356,22040
4214,Ústí nad Labem,117525,117589,117594,117729,118633,119260,120197,121024,121458,121699,120259,119716,119519,119492,119512,119296,119498,119407,119338,118651,116916
5313,Ústí nad Orlicí,26690,26711,26741,26740,26668,26648,26614,26635,26631,26578,26717,26642,26538,26463,26368,26376,26348,26384,26573,26511,26106
7209,Valašské Klobouky,24155,24184,24223,24127,24055,23961,23917,23915,23841,23761,23656,23600,23535,23438,23341,23245,23178,23141,23102,23053,22727
7210,Valašské Meziříčí,42023,42027,41995,41973,41946,41943,42036,42209,42235,42178,41935,41843,41727,41669,41531,41504,41543,41631,41831,41727,41459
4215,Varnsdorf,20675,20608,20589,20585,20599,20567,20598,20581,20651,20656,20503,20396,20346,20327,20250,20133,20060,20005,19905,19789,19351
