"","year","ico","lt_tangible_assets_CZK"
"1455",2015,253014,4551662844.58
"1456",2015,263958,2554986871.99
"1457",2015,251810,3273167583.4
"1458",2015,250996,543727310.89
"1459",2015,265209,1156915202.25
"1460",2015,265365,760575212.95
"1461",2015,265781,1483904047.17
"1462",2015,263991,863599606.24
"1463",2015,232947,1392834382.44
"1464",2015,232963,547829150.39
"1465",2015,266094,6458268429.09
"1466",2015,266230,866918862.06
"1467",2015,266027,1951769856.72
"1468",2015,81531,3838743623.23
"1469",2015,266621,2026363778
"1470",2015,233129,1779611820.54
"1471",2015,233242,423670864.61
"1472",2015,231401,3652060495.49
"1473",2015,235334,788513762.17
"1474",2015,234516,6383299528.61
"1475",2015,234877,2080336528.91
"1476",2015,236021,2090711925.58
"1477",2015,236195,1864598102.42
"1478",2015,235440,5658493520.25
"1479",2015,238309,798625294.67
"1480",2015,236977,1482510706.02
"1481",2015,237051,2347351113.12
"1482",2015,237108,1232353133.44
"1483",2015,238295,4237234480.1
"1484",2015,239402,1209142151.08
"1485",2015,239500,1458998514.06
"1486",2015,239640,1938963110.81
"1487",2015,240079,2013448092.88
"1488",2015,240702,2247161780.84
"1489",2015,241121,777788661.35
"1490",2015,243132,3791867372.04
"1491",2015,243272,1259349857.45
"1492",2015,242098,835272372.69
"1493",2015,244309,1660177319.52
"1494",2016,253901,808926199.42
"1495",2016,253979,3235981866.43
"1496",2016,254061,1447597951.33
"1497",2016,254843,2114552835.02
"1498",2016,254657,9798007241.6
"1499",2016,259438,238018075.99
"1500",2016,259586,2056980603.14
"1501",2016,260428,3112420472.92
"1502",2016,262340,3870848245.8
"1503",2016,262587,443803166.78
"1504",2016,260771,1013338341.95
"1505",2016,262781,609247390.01
"1506",2016,262633,597866743.8
"1507",2016,262978,10221575263.2
"1508",2016,276111,458202480.5
"1509",2016,276227,935923328.21
"1510",2016,275808,901879623.23
"1511",2016,253383,773947865.23
"1512",2016,253316,2987726151.37
"1513",2016,255513,980867168.64
"1514",2016,255661,3101597234.53
"1515",2016,75370,27177599412.02
"1516",2016,256129,1706862869.63
"1517",2016,256455,521134457.13
"1518",2016,257125,854805873.29
"1519",2016,257265,475732658.23
"1520",2016,256986,618169586.31
"1521",2016,257966,421865300.98
"1522",2016,258199,463733116.99
"1523",2016,259047,1848157509.77
"1524",2016,260231,2609252131.13
"1525",2016,260177,1042634334.3
"1526",2016,261718,1089281235
"1527",2016,261602,876946092.19
"1528",2016,261238,3901106644.79
"1529",2016,261912,2115891655.11
"1530",2016,261891,4397527076.52
"1531",2016,263958,2644470814.45
"1532",2016,264334,627079286.54
"1533",2016,263991,784693071.85
"1534",2016,265209,1177170967.21
"1535",2016,265365,761774057.75
"1536",2016,265781,1478464409.38
"1537",2016,266027,1926962355.58
"1538",2016,266094,6364521171.5
"1539",2016,266230,820752558.18
"1540",2016,266621,2010276755
"1541",2016,81531,3737216588.02
"1542",2016,245585,837418496.78
"1543",2016,244732,9009582172.74
"1544",2016,245551,422610881.52
"1545",2016,245836,1832980180.56
"1546",2016,245941,974627379.57
"1547",2016,246476,659831226.34
"1548",2016,250627,1781029695.97
"1549",2016,250805,1095740351.11
"1550",2016,251984,761204399.6
"1551",2016,250996,551864499.7
"1552",2016,247618,2325579737.3
"1553",2016,246875,2701126886.34
"1554",2016,249831,786435502.93
"1555",2016,249998,4131546380.64
"1556",2016,251810,3233066672.15
"1557",2016,252921,851689153.42
"1558",2016,253014,4556287437.08
"1559",2016,232947,1406236334.56
"1560",2016,232963,545808048.29
"1561",2016,233242,503416634.14
"1562",2016,231401,3660065885.4
"1563",2016,233129,1738283685.34
"1564",2016,234516,6432180930.22
"1565",2016,234877,2068791152.87
"1566",2016,235334,833654103.05
"1567",2016,236021,2141092921.38
"1568",2016,236195,1910462248.43
"1569",2016,235440,5641821316.78
"1570",2016,239640,1887161716.83
"1571",2016,240079,2008189762.52
"1572",2016,238309,796357197.4
"1573",2016,239402,1221533455.75
"1574",2016,238295,4253384292.66
"1575",2016,239500,1455638507.52
"1576",2016,237108,1259998072.14
"1577",2016,236977,1506244469.95
"1578",2016,237051,2254757676.85
"1579",2016,241121,780654548.65
"1580",2016,240702,2301567390.11
"1581",2016,243132,3462765820.92
"1582",2016,243272,1546147441.28
"1583",2016,242098,831817376.5
"1584",2016,244309,1647268034.65
"1585",2017,253901,713889637.87
"1586",2017,253979,3247851156.91
"1587",2017,254061,1430998765.18
"1588",2017,254843,2170316352.52
"1589",2017,254657,9643791384.38
