ico,municipality_id,municipality,date,year,EU_fund_total_CZK,Tax_revenue_CZK,Capital_revenue_CZK,Non_tax_revenue_CZK,lt_tangible_assets_CZK,Saldo_CZK,population_total,unemployment
252921,3110,Soběslav,2015-12-31,2015,0,4326.155922029421,8.61046591064353,958.9147187685021,37953.61259461675,312.2694598533484,21957,6.75
252921,3110,Soběslav,2016-12-31,2016,0,4613.474138668852,586.2914504233815,1005.7834430483474,38773.065347355005,894.4349435491213,21966,5.56
252921,3110,Soběslav,2017-12-31,2017,1705.8729098285921,5104.688920495988,19.286378555798688,1025.215688366156,40020.19710020059,525.0472720641868,21936,4.24
252921,3110,Soběslav,2018-12-31,2018,649.0882084512184,5421.864087797755,511.0568586291868,981.1829355663048,42204.05954230172,-605.6481477594232,21914,2.34
252921,3110,Soběslav,2019-12-31,2019,269.88721875427166,5745.291759238165,510.8274907732264,948.4990996491547,45543.32901489953,-1528.3130086116555,21947,1.9
252921,3110,Soběslav,2020-12-31,2020,0,5535.763889445406,57.834854749112104,1141.3268459156725,46187.20132273928,346.53948001092795,21962,3.22
253014,3112,Tábor,2007-12-31,2007,0,5258.87154891777,700.5541611788972,2294.157327104197,45618.07211550409,254.1410501727094,80482,3.29
253014,3112,Tábor,2008-12-31,2008,672.3554403830173,5741.687979856864,1260.8177567195464,2435.8289818042,46726.11004303983,1485.4617168797986,80623,3.73
253014,3112,Tábor,2009-12-31,2009,2535.1085072169544,5194.531702607016,1720.002475799064,2430.037013196009,51449.68062192073,-2653.376494763685,80782,6.8
253014,3112,Tábor,2010-12-31,2010,800.9547684173948,5513.729646544877,1713.1778693407466,2835.39180401112,51997.65364376489,3487.903345909452,80576,7.3
253014,3112,Tábor,2011-12-31,2011,110.43206507855805,5266.1334249327265,1353.4158269366699,2953.8457651814833,47628.63685544574,1165.702639724206,80641,6.99
253014,3112,Tábor,2012-12-31,2012,6008.0285813526525,5552.113177814717,1296.0049555897385,2621.6581558576886,48773.66417146331,784.5864295638341,80612,7.08
253014,3112,Tábor,2013-12-31,2013,1424.863112360806,5899.654622050079,1116.3726352836022,2512.931392871774,51780.55793390687,653.0890673221395,80553,7.17
253014,3112,Tábor,2014-12-31,2014,318.1973143971869,6128.212010785154,552.6547508107503,2357.748437022403,56258.18429082641,-1035.9711749357004,80481,7.26
