"","municipality_id","municipality","district_id","distric","NUTS_3_id","NUTS_3","NUTS_2_id","NUTS_2","ico","name"
"166",3215,"Tachov","CZ0327","Tachov","CZ032","Plzeňský kraj","CZ03","Jihozápad","00260231","Město Tachov"
"167",5108,"Tanvald","CZ0512","Jablonec nad Nisou","CZ051","Liberecký kraj","CZ05","Severovýchod","00262587","Město Tanvald"
"168",6112,"Telč","CZ0632","Jihlava","CZ063","Kraj Vysočina","CZ06","Jihovýchod","00286745","Město Telč"
"169",4213,"Teplice","CZ0426","Teplice","CZ042","Ústecký kraj","CZ04","Severozápad","00266621","Statutární město Teplice"
"170",6217,"Tišnov","CZ0643","Brno-venkov","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00282707","Město Tišnov"
"171",6113,"Třebíč","CZ0634","Třebíč","CZ063","Kraj Vysočina","CZ06","Jihovýchod","00290629","Město Třebíč"
"172",3114,"Třeboň","CZ0313","Jindřichův Hradec","CZ031","Jihočeský kraj","CZ03","Jihozápad","00247618","Město Třeboň"
"173",3113,"Trhové Sviny","CZ0311","České Budějovice","CZ031","Jihočeský kraj","CZ03","Jihozápad","00245551","Město Trhové Sviny"
"174",8121,"Třinec","CZ0802","Frýdek-Místek","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00297313","Statutární město Třinec"
"175",5214,"Trutnov","CZ0525","Trutnov","CZ052","Královéhradecký kraj","CZ05","Severovýchod","00278360","Město Trutnov"
"176",5109,"Turnov","CZ0513","Liberec","CZ051","Liberecký kraj","CZ05","Severovýchod","00276227","Město Turnov"
"177",3115,"Týn nad Vltavou","CZ0311","České Budějovice","CZ031","Jihočeský kraj","CZ03","Jihozápad","00245585","Město Týn nad Vltavou"
"178",7207,"Uherské Hradiště","CZ0722","Uherské Hradiště","CZ072","Zlínský kraj","CZ07","Střední Morava","00291471","Město Uherské Hradiště"
"179",7208,"Uherský Brod","CZ0722","Uherské Hradiště","CZ072","Zlínský kraj","CZ07","Střední Morava","00291463","Město Uherský Brod"
"180",7112,"Uničov","CZ0712","Olomouc","CZ071","Olomoucký kraj","CZ07","Střední Morava","00299634","Město Uničov"
"181",4214,"Ústí nad Labem","CZ0427","Ústí nad Labem","CZ042","Ústecký kraj","CZ04","Severozápad","00081531","Statutární město Ústí nad Labem"
"182",5313,"Ústí nad Orlicí","CZ0534","Ústí nad Orlicí","CZ053","Pardubický kraj","CZ05","Severovýchod","00279676","Město Ústí nad Orlicí"
"183",7209,"Valašské Klobouky","CZ0724","Zlín","CZ072","Zlínský kraj","CZ07","Střední Morava","00284611","Město Valašské Klobouky"
"184",7210,"Valašské Meziříčí","CZ0723","Vsetín","CZ072","Zlínský kraj","CZ07","Střední Morava","00304387","Město Valašské Meziříčí"
"185",4215,"Varnsdorf","CZ0421","Děčín","CZ042","Ústecký kraj","CZ04","Severozápad","00261718","Město Varnsdorf"
