ID,IČO,Název,Od,Do,DIČ,Adresa,Ulice,PSČ,Sídlo,Zřizovatel,Počet obyvatel,Kraj,Obec,Základní územní jednotka ,Datum vzniku,Kapitola ID,Druh ÚJ ,NACE,NUTS,COFOG,municipality
1.9073179143597E+018,00672904,Obec Noviny pod Ralskem,44562,2958465,CZ00672904,"Noviny pod Ralskem 116, 471 24 Mimoň",Noviny pod Ralskem 116,471 24,Mimoň,00672904,309,CZ051,Noviny pod Ralskem,561851,33201,0,4,84110,CZ0511,0,
8.14402514844679E+018,00266531,Obec Novosedlice,44562,2958465,CZ00266531,"Trnovanská 208/16, 417 31 Novosedlice",Trnovanská 208/16,417 31,Novosedlice,00266531,2161,CZ042,Novosedlice,567752,26846,0,4,84110,CZ0426,0,
5.18435767294652E+018,00283444,Obec Novosedly,44562,2958465,CZ00283444,691 82 Novosedly 97, ,691 82,Novosedly 97,00283444,1269,CZ064,Novosedly,584746,26846,0,4,84110,CZ0644,0,
8.54939310270373E+018,00251623,Obec Novosedly,44562,2958465,CZ00251623,"Novosedly 6, 387 16 Volenice",Novosedly 6,387 16,Volenice,00251623,346,CZ031,Novosedly,551554,26846,0,4,84110,CZ0316,0,
9.40339237199444E+017,00247171,Obec Novosedly nad Nežárkou,44562,2958465,CZ00247171,"Novosedly nad Nežárkou 182, 378 17 Novosedly nad Nežárkou",Novosedly nad Nežárkou 182,378 17,Novosedly nad Nežárkou,00247171,684,CZ031,Novosedly nad Nežárkou,546844,26846,0,4,84110,CZ0313,0,
8.77360353778673E+017,00260771,Město Nový Bor,44562,2958465,CZ00260771,"nám. Míru 1, 473 01 Nový Bor",nám. Míru 1,473 01,Nový Bor,00260771,11582,CZ051,Nový Bor,561860,33392,0,4,84110,CZ0511,0,
5.3548673264099E+018,00269247,Město Nový Bydžov,44562,2958465,CZ00269247,"Masarykovo nám. 1, 504 01 Nový Bydžov",Masarykovo nám. 1,504 01,Nový Bydžov,00269247,6924,CZ052,Nový Bydžov,570508,26846,0,4,84110,CZ0521,0,
3.69774848513281E+018,00244171,Obec Nový Dům,44562,2958465,CZ00244171,"Nový Dům 4, 269 01 Rakovník",Nový Dům 4,269 01,Rakovník,00244171,175,CZ020,Nový Dům,542181,26846,0,4,84110,CZ020C,0,
1.31744350360221E+018,00876097,Obec Nový Dvůr,44562,2958465,CZ00876097,"Nový Dvůr 25, 289 32 Oskořínek",Nový Dvůr 25,289 32,Oskořínek,00876097,70,CZ020,Nový Dvůr,599654,33604,0,4,84110,CZ0208,0,
8.93915701321089E+018,00272884,Městys Nový Hrádek,44562,2958465,CZ00272884,"Náměstí 28, 549 22 Nový Hrádek",Náměstí 28,549 22,Nový Hrádek,00272884,868,CZ052,Nový Hrádek,574287,26846,0,4,84110,CZ0523,0,
